"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Emerging market and developing economies,2702.242,2829.702,2682.889,2633.917,2631.895,2680.099,2748.792,3027.847,3341.683,3656.567,5176.091,4767.436,4125.77,4664.019,5045.373,5803.968,6481.686,6888.634,6650.541,6445.958,7070.939,7098.323,7057.515,7952.431,9467.993,11328.444,13412.941,16521.88,19841.787,18947.738,22787.28,26843.025,28385.415,30128.24,31105.071,29497.47,29347.887,31797.023,33686.702,34855.072,37064.829,39772.836,42657.456,45756.056,49097.176
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6093.681,6720.446,6108.319,6452.369,7615.246,7732.7,6942.463,7105.406,7117.232,6489.281,6581.87,7181.855,8845.649,10140.822,10515.994,11172.607,12871.519,14155.022,12931.976,12653.244,13633.034,12642.474,13187.204,13505.795,11669.211,11957.892,12629.651,13639.082,13313.986,13678.438,14235.64,14780.454,15337.614,15949.789
European Union,3805.474,3417.829,3301.52,3214.509,3083.671,3194.352,4305.495,5286.361,5923.02,6028.052,7394.549,7871.467,8597.919,7830.19,8316.003,9610.356,9821.461,9279.324,9601.739,9590.158,8918.864,9003.418,9838.802,11957.426,13800.162,14427.037,15398.837,17801.812,19226.235,17157.446,17020.091,18386.485,17314.961,18044.526,18682.427,16437.356,16540.757,17348.916,18736.855,18292.198,18750.374,19531.935,20322.457,21144.842,22045.235
Latin America and the Caribbean,852.65,923.542,759.129,690.107,718.537,772.454,767.272,815.415,918.932,1034.08,1154.103,1240.85,1359.112,1532.52,1749.561,1896.839,2042.738,2238.757,2254.009,2018.737,2208.912,2152.427,1910.358,1943.644,2236.356,2719.392,3192.397,3778.563,4397.447,4052.368,5072.683,5908.721,5936.877,6023.17,5988.653,5271.938,5057.106,5459.775,5249.657,5188.25,5352.398,5634.419,5922.284,6234.319,6546.544
Major advanced economies (G7),6882.093,7096.007,7065.865,7455.14,7845.048,8317.545,10058.075,11557.45,12995.429,13491.148,14925.109,15986.013,17161.228,17493.905,18704.454,20392.446,20361.704,20110.869,20386.355,21481.854,21996.078,21737.35,22436.538,24763.014,27192.613,28394.343,29625.142,31814.337,33313.414,31757.128,32943.465,35021.364,35194.472,35219.399,36121.693,34702.692,35651.273,36876.177,38900.677,39627.483,41031.337,42594.792,44166.729,45815.94,47577.269
Middle East and Central Asia,542.286,575.296,569.395,576.389,584.033,602.962,612.063,726.639,768.958,873.842,1104.836,794.382,584.092,623.731,669.131,752.978,856.524,912.018,925.677,1048.551,1230.01,1184.071,992.732,1125.19,1356.663,1662.619,1987.728,2377.234,2931.244,2630.628,3081.915,3620.837,3727.819,3854.204,3929.136,3485.074,3411.66,3512.421,3806.778,3828.715,3936.209,4095.799,4298.625,4533.194,4804.97
Other advanced economies,768.322,787.033,782.146,781.237,818.674,815.119,993.815,1222.95,1442.661,1569.641,1807.865,1925.82,2051.388,2026.4,2275.827,2681.646,2860.093,2771.655,2498.843,2678.225,2762.084,2678.41,2914.511,3356.827,3836.976,4232.612,4585.27,5244.199,5540.075,5095.668,5868.105,6706.233,6757.161,6984.434,7114.113,6545.305,6677.324,7164.952,7507.364,7356.688,7502.544,7845.153,8226.579,8633.338,9069.529
Sub-Saharan Africa,299.047,316.063,320.985,292.751,229.44,210.291,239.297,257.448,277.633,284.188,386.612,391.392,387.234,386.806,376.291,462.764,519.058,540.347,542.765,388.248,393.407,375.461,406.01,508.882,628.25,741.487,858.88,992.511,1144.784,1097.14,1302.523,1499.331,1581.169,1664.59,1741.308,1555.915,1442.882,1546.516,1642.183,1693.76,1808.531,1946.644,2101.941,2271.875,2460.118
World,11156.371,11419.223,11213.901,11509.84,11913.877,12452.876,14675.754,16893.106,19003.48,19996.384,23521.312,24361.443,25197.763,25883.605,27825.89,31024.291,31884.151,31811.066,31666.145,32780.606,33858.446,33609.134,34741.061,38999.862,43905.526,47570.502,51536.187,58159.063,63775.903,60435.578,66073.382,73311.817,74690.361,76842.429,78944.492,74779.477,75823.645,80262.145,84929.508,86598.831,90519.608,95353.018,100409.007,105786.185,111569.459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
