"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Colombia,46.342,50.488,54.067,53.736,53.075,48.415,48.482,50.467,54.406,54.861,55.879,57.757,68.345,77.456,97.332,110.186,115.734,127.055,117.323,102.78,98.931,97.273,97.02,93.751,115.986,145.163,161.363,205.755,242.028,232.565,286.039,334.476,370.344,381.844,381.24,293.493,282.72,311.796,330.974,327.895,343.177,362.517,382.799,404.416,427.464
Comoros,0.242,0.212,0.201,0.195,0.188,0.191,0.257,0.312,0.336,0.328,0.401,0.4,0.436,0.427,0.314,0.392,0.392,0.362,0.363,0.372,0.339,0.373,0.427,0.547,0.622,0.656,0.689,0.796,0.916,0.904,0.909,1.023,1.016,1.116,1.15,0.989,1.027,1.081,1.184,1.179,1.25,1.331,1.413,1.5,1.594
"Congo, Dem. Rep. of the",68.606,59.726,64.939,52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,7.246,8.72,9.022,10.275,12.069,14.376,16.737,19.709,18.702,21.566,25.838,29.319,32.676,35.911,37.915,36.64,37.615,47.099,48.994,51.578,54.093,57.142,60.665,64.112
"Congo, Republic of ",2.083,1.708,1.489,1.354,1.245,1.276,1.746,2.121,2.257,2.384,2.799,2.725,2.933,2.684,1.769,2.116,2.54,2.323,1.949,2.357,3.22,2.794,3.02,3.503,4.655,6.093,7.739,7.446,10.216,9.366,12.303,14.814,13.664,14.026,14.1,8.554,7.787,8.932,11.664,11.576,11.54,11.475,11.218,11.29,11.598
Costa Rica,4.836,2.626,2.609,3.15,3.664,3.926,4.408,4.537,4.618,5.23,5.716,7.238,8.578,9.586,10.473,11.545,11.64,12.568,13.634,14.211,14.965,15.93,16.525,17.22,18.562,19.994,22.659,26.856,30.844,30.826,37.634,42.717,46.984,50.326,51.181,55.41,57.828,58.654,60.464,61.021,65.179,68.636,72.265,76.121,80.28
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.247,12.968,17.349,22.388,23.601,23.974,25.346,23.374,21.774,23.29,26.868,34.668,41.523,45.347,50.387,60.11,70.465,62.712,59.866,62.399,56.549,58.158,57.683,49.519,51.623,55.201,60.805,60.702,63.172,66.508,68.711,72.215,75.838
Cyprus,2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.951,26.017,25.606,27.46,25.056,24.093,23.401,19.691,20.461,22.189,24.493,24.28,25.36,26.894,28.442,29.986,31.698
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59.768,66.986,61.783,66.465,64.867,61.645,67.524,81.899,99.662,119.162,136.281,155.464,189.032,236.031,206.303,207.478,227.948,207.376,209.402,207.818,186.83,195.09,215.914,245.226,246.953,261.732,276.106,290.539,305.392,321.621
Côte d'Ivoire,10.04,8.321,7.466,6.737,6.717,6.851,9.17,10.088,10.195,9.757,10.796,10.493,11.153,11.046,8.313,11,12.139,11.722,12.612,12.377,10.717,11.193,12.347,15.307,16.554,17.085,17.801,20.344,24.225,24.277,24.885,25.67,26.791,31.264,35.316,33.131,35.297,38.134,43.048,44.439,48.354,53.095,58.055,62.905,68.132
Denmark,71.127,61.878,60.413,60.645,59.105,62.658,88.079,109.414,115.552,112.41,138.248,139.226,152.915,143.195,156.164,185.008,187.633,173.539,176.991,177.964,164.158,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,311.988,329.866,352.058,347.176,360.506,376.572,393.851,412.523,432.303
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.635,0.649,0.671,0.654,0.69,0.699,0.693,0.706,0.722,0.759,0.78,0.811,0.837,0.881,0.935,0.995,1.079,1.19,1.381,1.425,1.542,1.739,1.9,2.043,2.216,2.445,2.619,2.767,2.923,3.166,3.423,3.701,4.002,4.327,4.678
Dominica,0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.502,0.524,0.541,0.575,0.524,0.533,0.593,0.633,0.672,0.71,0.739,0.765
Dominican Republic,8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,67.264,71.254,75.777,80.082,85.63,89.475,96.291,103.627,111.192,119.329,127.934
Ecuador,16.84,17.243,17.214,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,108.398,107.914,109.444,112.682,117.083,121.318,125.598
Egypt,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.26,71.114,79.77,89.188,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528,249.559,302.256,353.003,376.542,397.346,419.833,453.726
El Salvador,3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.154,24.928,26.057,26.871,27.918,29.026,30.157,31.452,32.773
Equatorial Guinea,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.156,1.672,2.061,3.765,5.95,8.184,10.087,13.072,19.75,15.028,16.299,21.329,22.39,21.943,21.737,13.18,11.233,12.287,13.734,12.142,11.635,11.327,11.096,11.129,11.226
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.606,0.374,0.433,0.483,0.579,0.594,0.626,0.614,0.547,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.008,2.213,1.919,2.007,2.11,2.193,2.327,2.543,2.717,2.904
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.788,2.505,3.905,4.779,5.153,5.67,5.777,5.714,6.274,7.396,9.895,12.157,14.117,17.036,22.473,24.463,19.804,19.73,23.421,23.206,25.279,26.816,23.06,24.006,26.85,30.761,31.038,32.742,34.95,37.178,39.452,41.921
Eswatini,0.754,0.798,0.714,0.734,0.628,0.497,0.635,0.831,0.986,1.006,1.237,1.285,1.425,1.497,1.621,1.932,1.83,1.957,1.797,1.764,1.739,1.544,1.436,2.198,2.774,3.177,3.293,3.465,3.298,3.596,4.438,4.826,4.887,4.6,4.426,4.075,3.84,4.452,4.711,4.657,4.784,4.924,5.137,5.376,5.624
Ethiopia,7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,8.431,8.826,8.909,8.078,7.927,8.235,8.223,7.851,8.623,10.142,12.408,15.283,19.701,26.839,32.464,29.917,31.958,42.221,46.544,54.165,63.081,70.886,75.745,80.289,91.166,103.607,114.681,125.255,135.361,146.181
Fiji,1.303,1.339,1.293,1.217,1.276,1.236,1.398,1.276,1.202,1.281,1.448,1.5,1.659,1.772,1.977,2.134,2.307,2.268,1.795,2.104,1.824,1.798,1.996,2.509,2.955,3.257,3.361,3.689,3.817,3.11,3.402,4.089,4.303,4.539,4.857,4.663,4.925,5.373,5.524,5.708,6.062,6.45,6.862,7.308,7.776
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.797,128.287,113.227,89.321,103.76,134.349,132.153,126.997,134.11,135.406,125.908,129.363,140.119,171.406,197.04,204.625,216.745,255.739,284.87,252.222,248.244,273.985,256.854,270.061,273.043,232.968,239.106,252.867,274.21,269.654,280.709,292.81,305.243,317.532,330.94
France,702.243,618.954,588.015,562.499,532.339,557.561,772.838,935.117,1020.878,1026.179,1272.433,1273.594,1404.391,1324.236,1396.653,1602.13,1606.035,1454.555,1505.184,1494.634,1366.243,1377.667,1500.348,1844.083,2118.671,2198.16,2320.659,2660.905,2929.983,2697.955,2647.348,2864.653,2685.371,2811.918,2856.701,2439.436,2472.282,2591.775,2780.152,2707.074,2771.622,2876.227,2983.803,3093.657,3214.61
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.875,16.877,17.623,18.563,19.66,20.893,22.438
"Gambia, The",0.606,0.579,0.548,0.551,0.396,0.482,0.376,0.504,0.585,0.614,0.721,0.76,0.82,0.878,0.87,0.909,0.949,0.983,1.009,1.036,1.01,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.625,1.773,1.925,2.06,2.206,2.346,2.486
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.827,1.907,3.063,3.511,3.607,2.805,3.057,3.218,3.396,3.991,5.126,6.411,7.745,10.173,12.795,10.767,11.638,14.435,15.847,16.14,16.51,13.993,14.378,15.08,16.209,15.925,17.007,18.662,20.415,22.075,23.843
Germany,853.705,718.264,693.547,691.912,651.9,661.037,944.124,1174.861,1266.623,1257.393,1598.64,1875.618,2136.312,2072.457,2209.934,2588.002,2498.113,2214.694,2242.065,2197.125,1948.843,1945.804,2077.016,2501.014,2813.076,2848.438,2994.862,3425.982,3744.854,3407.557,3402.444,3748.655,3529.377,3733.859,3890.095,3362.242,3468.188,3664.511,3951.34,3863.344,3982.235,4158.656,4322.593,4491.375,4675.325
Ghana,38.219,61.792,72.037,48.515,17.332,15.379,14.228,11.932,12.678,12.897,14.898,16.673,16.484,13.383,12.303,14.544,15.458,15.786,17.153,17.756,11.467,12.227,14.2,17.494,20.243,24.521,28.785,33.941,38.413,34.254,43.043,53.645,56.504,63.279,53.173,48.595,54.989,58.978,65.518,67.077,69.757,74.633,79.335,84.696,90.483
Greece,57.01,52.605,54.878,49.603,48.329,47.936,56.421,65.682,76.447,79.25,97.963,105.633,116.466,109.022,116.678,136.942,145.872,143.326,144.644,149.412,132.198,136.284,154.307,202.272,240.774,248.184,273.547,318.94,356.14,330.837,299.919,288.062,245.807,239.937,237.406,196.69,195.303,203.493,218.23,214.012,222.785,231.755,240.408,248.406,257.239
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.185,1.238,1.295,1.356,1.428,1.505,1.582
Guatemala,7.319,7.995,8.098,8.406,8.796,10.385,5.615,6.502,7.042,8.118,7.106,8.687,9.625,10.462,11.855,13.314,14.218,16.103,17.488,16.492,17.187,18.703,20.777,21.918,23.965,27.211,30.231,34.113,39.137,37.734,41.338,47.655,50.388,53.851,58.722,63.767,68.663,75.62,78.461,81.318,86.397,92.553,98.775,105.48,114.375
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.054,4.506,4.178,6.317,6.966,6.753,6.866,6.034,7.304,8.374,8.79,8.79,8.604,10.306,12.099,13.368,14.396,15.566,16.707,17.881,19.143
Guinea-Bissau,0.171,0.219,0.249,0.281,0.195,0.287,0.28,0.237,0.221,0.266,0.324,0.456,0.5,0.386,0.435,0.46,0.438,0.416,0.376,0.406,0.364,0.38,0.41,0.477,0.532,0.587,0.592,0.697,0.868,0.829,0.851,1.1,0.99,1.046,1.055,1.048,1.179,1.35,1.429,1.397,1.507,1.627,1.76,1.907,2.07
Guyana,0.559,0.536,0.459,0.466,0.434,0.463,0.523,0.484,0.615,0.617,0.504,0.538,0.598,0.731,0.864,0.99,1.12,1.19,1.133,1.104,1.124,1.126,1.16,1.192,1.252,1.312,1.458,1.741,1.923,2.026,2.259,2.577,2.862,2.988,3.078,3.197,3.504,3.606,3.899,4.121,8.065,8.674,10.689,14.003,15.454
