"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Zambia,718.795,718.743,672.013,562.441,448.532,412.851,276.151,332.268,543.316,561.832,509.752,446.778,424.949,405.587,405.544,410.542,378.71,440.701,352.627,330.283,340.164,376.986,376.468,429.01,530.54,691.785,1030.282,1103.452,1365.692,1134.758,1456.162,1635.505,1724.711,1839.537,1727.026,1310.354,1252.698,1500.646,1503.401,1307.029,1236.192,1203.473,1179.288,1160.265,1147.79
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1036.534,936.263,748.65,702.439,714.032,717.092,849.876,881.223,1029.202,1003.834,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,1131.836,1310.366,1421.548,1415.027,1425.014,1409.454,1516.28,1434.059,859.953,847.163,869.32,905.287,934.974,971.081
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1027.325,916.833,886.618,865.904,828.808,961.942,1050.296,1066.347,1054.566,845.062,847.358,800.859,795.968,927.779,1084.285,1244.602,1406.372,1602.709,1825.993,1692.551,1937.471,2105.767,2187.742,2205.835,2225.146,1977.705,1824.572,1794.797,1850.287,1877.989,1972.029,2054.231,2145.183,2243.606,2347.023
Asia and Pacific,957.52,1005.983,960.058,1002.525,1043.273,1047.093,1304.369,1520.386,1785.086,1825.479,1871.447,2028.582,2141.483,2373.48,2532.422,2836.951,2729.539,2590.617,2281.955,2504.811,2645.039,2438.477,2461.478,2715.421,3030.886,3243.429,3437.419,3890.221,4357.022,4439.487,5135.019,5837.935,6142.73,6171.931,6334.925,6241.839,6395.596,6741.169,7102.914,7317.398,7718.53,8204.949,8720.347,9265.474,9849.439
Australia and New Zealand,10326.769,11632.186,11373.053,10791.377,11588.94,10258.236,10732.465,12662.015,15771.289,17309.428,17923.949,17575.506,17006.402,16584.975,18821.119,20174.476,22297.876,22159.675,19409.037,20636.252,19695.061,18444.807,20614.767,26045.935,31377.948,34630.122,35870.596,42866.442,46245.64,42778.213,52625.923,62444.451,63762.853,61400.966,58778.015,49264.287,49861.474,53587.109,53928.147,51654.27,51157.773,52819.665,54701.596,56656.482,58577.159
Caribbean,1486.075,1610.812,1674.226,1652.354,1937.732,1429.683,1405.886,1389.341,1344.88,1443.229,1485.31,1550.913,1608.752,1687.209,1838.31,2106.277,2249.886,2407.02,2554.612,2655.549,2814.9,2866.663,2961.752,2756.043,2944.206,3740.808,3986.827,4487.776,4941.069,4420.888,4767.565,5109.752,5212.147,5290.797,5448.114,5511.265,5492.151,5682.369,5948.05,6041.133,6305.132,6619.674,6944.355,7288.619,7652.09
Central America,1190.844,1109.66,1115.714,1142.153,1145.013,1232.556,1039.112,1083.035,1095.088,1187.165,1109.577,1246.67,1381.148,1481.701,1491.035,1610.177,1670.015,1776.699,1883.829,1868.441,1924.635,1988.975,2049.124,2105.085,2228.461,2400.77,2619.201,2917.035,3261.869,3222.33,3521.665,3941.919,4223.824,4442.252,4650.241,4927.056,5126.832,5353.921,5445.725,5518.71,5745.582,5989.209,6242.384,6514.493,6835.072
Central Asia and the Caucasus,2132.148,2111.547,1875.285,1752.07,1667.262,1833.859,1982.413,2259.887,2335.486,2707.186,3735.77,no data,1904.843,2206.27,1642.926,2146.738,2322.227,2412.07,2506.723,2311.886,2414.623,no data,1893.505,2396.173,3059.578,3761.276,4257.539,5234.717,5991.709,5096.522,6026.051,6667.445,6982.087,7507.759,7295.29,6435.752,6046.816,5956.676,5543.99,5405.254,5824.02,6340.773,6785.45,7184.602,7606.402
East Asia,1329.752,1410.182,1321.584,1421.566,1489.066,1537.752,2075.456,2472.486,2978.289,3025.629,3039.793,3409.181,3722.719,4217.358,4533.941,5090.628,4751.584,4474.955,4067.498,4535.546,4877.562,4497.322,4490.562,4868.615,5368.764,5647.046,5872.091,6458.67,7370.38,7711.141,8763.502,10060.782,10748.379,10789.715,11209.186,11300.637,11607.053,12152.919,13077.278,13577.988,14418.117,15382.049,16412.265,17513.603,18707.825
Eastern Europe ,1903.165,2003.728,2154.295,2159.03,2048.906,2043.065,2122.925,2142.89,2456.848,no data,no data,no data,1029.93,1450.814,1901.641,2339.863,2703.859,2772.052,2430.479,2097.182,2296.477,2611.007,2963.639,3630.336,4644.672,5714.134,6951.329,9006.37,11294.677,8840.985,10012.989,11863.16,12039.521,12648.968,11920.791,8954.729,8803.03,10291.914,11233.733,11252.085,11719.537,12323.538,12967.994,13669.47,14418.637
Europe,8967.089,8038.688,7760.131,7541.678,7226.708,7466.358,10035.772,12295.673,13709.849,no data,no data,no data,13253.493,12147.668,13040.996,14764.465,15116.492,14209.31,14449.75,14305.03,13452.559,13676.351,14961.352,18155.253,21059.326,22278.332,24050.507,27988.262,30694.948,26908.851,27275.621,29974.416,28631.578,29784.703,30208.326,25854.993,25802.844,27364.717,29450.115,28816.329,29511.581,30702.458,31927.104,33215.298,34622.757
Middle East (Region),5494.944,5793.085,5447.439,5301.885,5060.764,4909.817,4801.262,5622.223,5834.918,6380.814,7790.724,5387.487,3365.827,3482.288,3756.802,4109.476,4617.041,4885.597,4749.779,5396.307,6525.876,6103.539,4684.291,4491.33,5271.956,6276.686,7206.306,8300.743,10048.429,8666.575,9994.222,12933.6,12556.802,12784.843,12767.431,10817.901,10625.764,11190.767,12095.275,11935.401,11945.425,12128.313,12431.123,12812.407,13308.773
North Africa,1548.108,1443.547,1455.732,1484.135,1496.108,1612.772,1624.691,1831.649,1882.168,2070.635,2054.792,1519.738,1512.939,1486.743,1452.467,1570.986,1709.586,1727.414,1746.463,1816.566,1877.948,1806.643,1637.644,1789.406,1985.869,2269.241,2551.115,2960.829,3511.563,3256.499,3652.749,3767.14,4180.436,4046.7,3962.748,3650.473,3579.735,3084.178,3227.227,3387.223,3645.346,3746.349,3851.482,3968.488,4061.748
North America,10399.922,11625.359,11674.036,12362.219,13544.422,14329.686,14703.329,15513.453,16721.589,17924.59,18682.397,19142.964,19938.966,20769.121,21684.757,21957.719,22974.019,24234.144,25166.351,26551.674,28173.331,28775.96,29400.264,30539.666,32415.044,34536.317,36505.658,38059.659,38565.546,36765.264,38480.948,39984.4,41165.928,42269.464,43477.43,43765.88,44183.576,45904.625,47972.138,49502.242,51208.258,52899.924,54535.989,56242.06,58036.25
Pacific Islands ,1442.658,1398.278,1304.641,1254.044,1181.46,1078.77,1153.243,1219.452,1513.349,1445.438,1343.911,1495.796,1606.321,1753.347,1897.33,1735.354,1814.03,1714.797,1320.337,1266.106,1203.711,1076.643,1075.345,1278.185,1432.937,1604.947,1728.653,1913.179,2189.107,2042.434,2324.404,2769.301,3044.755,3015.06,3192.603,2955.497,2841.858,3003.662,3058.794,3066.539,3092.696,3129.008,3189.745,3268.139,3352.529
South America,2406.332,2367.329,1970.15,1806.483,1731.716,1879.662,2079.664,2164.205,2365.795,2550.547,2753.867,2770.382,2908.125,3087.687,3617.121,4510.198,4679.885,4903.204,4770.023,3785.83,3943.632,3573.584,2786.517,2962.85,3550.758,4480.64,5383.112,6593.042,7908.981,7499.288,9547.177,11166.499,11019.406,10892.49,10553.429,9012.189,8602.484,9252.937,8506.084,8163.08,8337.638,8749.12,9155.144,9591.736,10000.529
South Asia,284.475,292.407,295.59,307.664,301.678,318.258,329.256,357.008,373.826,371.398,390.218,344.743,357.107,347.316,386.11,420.111,444.59,457.099,454.129,477.325,474.834,477.439,493.797,566.775,646.798,728.102,814.685,1016.511,1017.85,1101.319,1326.148,1415.73,1414.695,1433.812,1550.105,1599.855,1709.691,1932.94,1968.91,2063.615,2193.497,2364.934,2554.296,2759.245,2979.371
Southeast Asia,752.194,753.362,781.516,779.438,854.007,732.801,730.119,768.975,799.325,845.901,943.505,1040.557,1162.917,1280.345,1436.944,1642.706,1791.192,1669.935,1011.041,1172.429,1236.569,1176.173,1294.029,1436.751,1601.821,1763.368,2084.767,2454.113,2823.234,2752.192,3370.116,3858.957,4038.538,4119.529,4092.56,3925.234,4059.497,4322.653,4545.133,4750.887,5011.738,5310.737,5632.018,5977.536,6342.355
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,791.91,779.732,746.179,727.806,691.03,828.041,906.3,922.958,905.502,637.353,629.237,589.887,621.486,751.92,902.393,1040.254,1180.208,1337.027,1498.555,1390.882,1608.957,1790.82,1812.605,1861.004,1901.929,1668.105,1503.345,1557.201,1598.231,1603.55,1669.875,1750.779,1841.416,1938.815,2044.871
Western Europe,10518.185,9367.556,8999.759,8739.875,8384.387,8682.849,11814.783,14582.393,16240.486,16447.746,20282.993,21461.552,23219.07,21007.991,22220.54,25392.625,25806.139,24226.097,24918.574,24870.769,23042.246,23092.873,25074.489,30277.485,34639.636,35839.35,37928.818,43274.493,46178.662,41245.832,40896.227,44173.184,41585.153,43115.69,44368.402,38871.118,38830.48,40389.422,43283.921,42103.723,42914.954,44490.568,46090.681,47755.452,49591.496
Western Hemisphere (Region),6675.482,7300.821,7148.008,7428.387,8010.898,8458.905,8707.467,9145.867,9839.01,10528.833,10977.003,11212.863,11674.234,12168.47,12784.536,13288.686,13842.565,14570.58,14977.748,15249.577,16120.051,16248.715,16215.835,16841.805,18024.153,19494.139,20865.464,22174.071,23001.638,21894.115,23622.465,25068.046,25589.232,26071.875,26520.254,25995.442,26019.454,27155.254,27875.792,28497.202,29440.738,30472.907,31471.527,32513.699,33586.505
ASEAN-5,720.686,718.296,743.453,733.087,803.092,669.257,691.564,726.889,748.591,784.077,865.115,947.912,1058.578,1163.138,1297.132,1478.27,1617.656,1486.906,934.387,1117.093,1164.708,1113.5,1246.827,1395.531,1540.137,1691.506,2010.185,2360.584,2736.86,2656.115,3258.602,3705.772,3874.904,3947.847,3906.893,3741.04,3887.759,4152.254,4346.741,4592.445,4868.836,5176.185,5502.625,5852.5,6219.739
Advanced economies,10276.731,10361.676,10222.24,10571.256,10993.087,11508.954,13965.259,16141.728,18116.566,18768.308,20896.777,22122.036,23478.909,23288.501,24832.553,26907.789,26933.009,26262.86,26204.594,27425.178,27719.409,27253.664,28280.53,31523.745,34755.554,36347.344,37993.624,41220.209,43198.451,40556.194,42098.083,44948.938,44577.814,44768.849,45623.74,42964.728,43871.416,45556.021,47969.33,48248.022,49665.673,51464.45,53297.195,55220.943,57284.905
Emerging and Developing Asia,359.314,351.047,350.93,364.335,373.841,359.878,359.798,385.73,425.591,446.879,441.735,437.7,487.728,543.909,558.472,657.746,733.572,751.037,675.492,732.21,776.307,809.536,876.959,989.321,1135.195,1296.99,1522.097,1907.287,2274.229,2448.402,2921.211,3450.034,3767.796,4077.863,4361.73,4524.283,4568.804,4922.773,5310.564,5590.469,5989.154,6447.798,6930.021,7443.107,7992.915
Emerging and Developing Europe,1985.786,2043.034,2051.512,2007.749,1905.579,1963.708,2069.108,2188.126,2409.444,no data,no data,no data,1426.834,1852.454,2035.607,2435.099,2769.206,2860.541,2559.852,2210.21,2436.398,2492.809,2833.819,3500.211,4519.336,5615.236,6701.995,8580.248,10549.207,8252.092,9587.417,11188.253,11503.734,12153.33,11435.498,8829.174,8645.851,9746.934,10141.142,10049.41,10522.095,11151.492,11768.895,12384.948,13046.982
Emerging market and developing economies,871.578,894.327,830.137,798.738,782.036,780.183,781.529,844.286,914.065,980.55,1272.057,1150.312,946.204,1051.665,1117.83,1265.904,1389.619,1452.289,1366.433,1303.887,1407.421,1394.749,1361.772,1509.12,1772.066,2091.683,2443.927,2970.662,3518.752,3316.554,3936.483,4591.125,4789.256,5016.441,5110.976,4784.545,4699.127,5024.91,5259.575,5377.234,5650.734,5992.448,6351.676,6733.3,7139.175
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19640.417,21566.816,19508.419,20540.994,24184.653,24495.432,21938.695,22291.081,22284.95,20255.25,20475.745,22247.268,27253.109,31076.881,32047.136,33888.74,38862.746,42495.223,38664.053,37740.864,40747.612,37706.207,39242.38,39985.852,34466.97,35192.216,37087.624,39979.377,38973.025,39983.811,41563.054,43105.475,44684.793,46425.603
European Union,8806.138,7876.05,7587.941,7369.119,7056.49,7294.282,9807.951,12016.079,13425.224,13612.22,16598.294,17585.022,18751.165,16782.034,17794.197,19947.979,20359.963,19212.312,19860.542,19804.642,18390.222,18531.54,20205.261,24472.098,28131.491,29281.934,31139.714,35854.009,38586.488,34328.794,33981.975,36624.236,34410.56,35780.039,36952.091,32410.76,32526.163,34050.897,36711.545,35773.907,36605.299,38072.719,39557.911,41105.995,42806.579
Latin America and the Caribbean,2473.118,2616.545,2101.743,1868.799,1903.19,2009.831,1952.837,2042.196,2263.558,2498.631,2719.357,2863.082,3081.359,3416.369,3808.3,4061.084,4284.507,4623.683,4584.838,4046.745,4362.897,4191.94,3670.677,3686.252,4187.966,5030.274,5833.768,6821.773,7842.416,7139.312,8828.096,10163.839,10097.977,10129.573,9962.471,8675.957,8239.61,8815.354,8411.276,8251.725,8455.937,8838.239,9221.913,9634.375,10038.923
Major advanced economies (G7),11242.405,11516.184,11401.25,11965.62,12528.864,13213.04,15889.09,18158.041,20290.918,20916.888,22941.373,24357.621,25945.379,26250.628,27883.058,30207.11,29975.757,29422.634,29647.728,31058.348,31608.119,31045.49,31853.917,34953.343,38161.783,39609.938,41093.379,43872.373,45674.413,43315.139,44711.132,47284.457,47300.885,47106.388,48064.705,45934.697,46948.61,48364.336,50824.713,51602.501,53281.787,55166.749,57057.152,59043.098,61167.375
Middle East and Central Asia,2133.742,2193.053,2104.367,2065.535,2027.574,2028.649,1997.878,2309.119,2377.727,2631.96,3116.547,2189.352,1335.65,1396.15,1452.582,1608.161,1794.207,1873.699,1845.027,2037.754,2338.225,2216.445,1745.929,1889.023,2231.675,2678.703,3136.03,3670.711,4399.256,3867.101,4438.311,5325.711,5352.531,5412.106,5393.579,4686.368,4498.44,4525.276,4814.153,4752.985,4799.737,4906.064,5058.975,5242.119,5453.278
Other advanced economies,6822.664,6895.093,6760.602,6673.367,6918.902,6823.311,8242.757,10043.85,11719.642,12618.178,14371.591,15120.795,15930.123,15570.818,17298.805,18706.372,19753.949,18976.507,16972.002,18057.933,18466.884,17722.643,19162.665,21946.974,24928.559,27337.614,29376.277,33321.752,34828.131,31739.496,36280.781,41117.645,41086.154,42152.167,42593.633,38882.425,39352.551,41940.734,43645.475,42463.438,42989.971,44633.841,46474.039,48429.233,50516.765
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,831.17,817.552,780.662,757.744,717.638,859.03,938.973,953.636,934.377,651.669,639.686,594.617,624.846,758.108,909.654,1043.479,1177.009,1324.754,1489.2,1390.998,1608.476,1782.15,1830.362,1877.841,1914.311,1667.424,1507.376,1575.029,1630.681,1640.208,1707.448,1792.365,1887.052,1988.791,2099.538
World,2848.893,2864.934,2763.29,2788.163,2836.915,2913.985,3368.072,3810.229,4213.157,4356.777,4755.078,4845.5,4795.589,4844.275,5123.718,5618.325,5686.087,5588.619,5444.69,5562.585,5665.162,5553.496,5648.111,6235.515,6931.764,7417.542,7938.567,8849.793,9581.86,8971.959,9692.498,10655.632,10723.328,10901.285,11065.823,10359.225,10380.734,10859.068,11365.469,11464.07,11855.714,12356.775,12874.519,13421.027,14003.494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
