"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Comoros,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1259.834,1274.441,1304.769,1391.383,1349.794,1392.938,1445.068,1494.867,1546.659,1602.218
"Congo, Dem. Rep. of the",2607.244,2197.24,2312.736,1805.781,1166.488,1032.032,1120.941,1027.354,1152.288,1135.105,1138.475,1070.239,935.229,1182.365,621.048,584.269,731.024,642.729,461.123,410.453,397.025,146.542,165.772,160.842,171.721,189.034,218.022,245.818,280.395,257.769,288.015,334.393,368.393,398.627,425.329,435.979,409.046,407.705,495.635,500.554,511.604,520.923,534.258,550.676,565.022
"Congo, Republic of ",1311.065,1042.618,881.785,777.733,693.686,690.061,915.602,1079.073,1113.618,1107.124,1260.674,1191.066,1250.849,1116.788,718.177,837.921,981.466,875.412,716.86,845.612,1126.961,954.134,1006.064,1138.457,1475.973,1884.795,2335.518,2192.487,2934.697,2624.967,3363.891,3951.721,3556.023,3561.106,3492.504,2067.086,1835.811,2054.526,2617.516,2534.492,2464.874,2391.237,2280.663,2239.223,2244.353
Costa Rica,2100.757,1107.138,1067.872,1252.589,1415.777,1472.762,1605.216,1606.451,1591.981,1756.797,1873.621,2318.478,2688.046,2927.069,3105.446,3327.394,3265.484,3437.063,3638.579,3703.132,3927.591,4029.576,4108.17,4213.892,4470.856,4743.154,5295.906,6187.386,7003.463,6897.244,8264.202,9260.859,10054.526,10632.948,10679.134,11422.598,11779.244,11810.183,12039.107,12014.795,12690.589,13214.903,13758.789,14331.697,14946.577
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2589.343,2804.481,3834.654,5027.779,5251.656,5243.58,5631.165,5132.691,4970.211,5409.891,6241.222,8051.027,9354.099,10208.612,11348.389,13550.444,15892.036,14159.41,13550.438,14575.897,13249.445,13664.967,13610.802,11779.008,12367.801,13382.057,14870.418,14949.759,15645.775,16605.595,17297.839,18317.615,19372.273
Cyprus,4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15396.919,15260.362,14323.919,15181.803,15379.835,14464.816,14905.024,16188.394,20389.495,23969.991,25527.08,27448.569,31774.607,36003.309,32646.768,31260.142,32699.809,29066.917,27825.178,27273.654,23248.198,24119.715,25957.848,28341.046,27719.69,28626.567,30014.184,31383.733,32713.445,34190.398
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5784.097,6490.091,5993.003,6453.428,6304.157,5997.685,6599.308,8028.361,9777.814,11687.92,13362.343,15206.395,18434.536,22819.462,19787.766,19831.401,21736.836,19739.899,19912.51,19768.84,17728.702,18485.235,20409.984,23112.593,23213.954,24569.058,25881.829,27205.524,28569.078,30070.296
Côte d'Ivoire,1256.063,1017.796,879.167,754.947,732.212,719.026,926.032,980.695,981.953,903.102,960.018,897.075,917.389,826.888,604.249,776.945,833.759,784.715,822.892,787.07,664.259,676.153,726.988,878.415,925.951,931.407,945.846,1053.562,1222.774,1194.375,1193.214,1199.676,1220.329,1388.016,1528.191,1397.297,1450.918,1527.828,1680.967,1691.31,1793.699,1919.649,2045.782,2160.532,2280.76
Denmark,13886.37,12076.174,11801.273,11852.891,11561.767,12259.279,17215.426,21349.948,22528.114,21913.155,26920.581,27052.653,29622.474,27640.496,30050.878,35471.255,35732.689,32897.57,33426.974,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54665.215,57380.204,60897.231,59795.269,61732.569,64106.781,66656.961,69413.32,72325.944
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1311.374,1304.123,1311.499,1243.727,1276.414,1256.887,1213.516,1201.183,1195.412,1222.445,1222.757,1235.658,1240.878,1270.621,1312.143,1358.029,1433.162,1536.891,1734.616,1741.295,1833.846,2011.154,2137.598,2235.73,2359.42,2532.597,2638.002,2711.461,2786.794,2936.213,3088.165,3247.981,3416.067,3592.851,3778.785
